RGIId,ELA
RGI60-13.03308,6927
RGI60-13.03309,6543
RGI60-13.03314,6418.419653
RGI60-13.03316,5413
RGI60-13.03319,5582
RGI60-13.03321,5287
RGI60-13.03349,NaN
RGI60-13.03374,NaN
RGI60-13.03377,5837
RGI60-13.03378,5859
RGI60-13.03399,5826
RGI60-13.03402,5773.934451
RGI60-13.03489,5422
RGI60-13.03516,5439
RGI60-13.03583,5505
RGI60-13.03681,NaN
RGI60-13.03755,6654.363256
RGI60-13.03762,5264
RGI60-13.03776,6189
RGI60-13.03783,5349
RGI60-13.03848,6372
RGI60-13.03849,5186
RGI60-13.03854,5459
RGI60-13.03860,6127
RGI60-13.03861,5697
RGI60-13.03862,4943
RGI60-13.03863,5407
RGI60-13.03866,5420
RGI60-13.03870,5629
RGI60-13.03872,5419
RGI60-13.03929,NaN
RGI60-13.03930,NaN
RGI60-13.04096,NaN
RGI60-13.04185,NaN
RGI60-13.04188,NaN
RGI60-13.04224,NaN
RGI60-13.04767,5961
RGI60-13.04789,NaN
RGI60-13.04832,3755
RGI60-13.04837,3927
RGI60-13.04860,4282
RGI60-13.04867,4098
RGI60-13.04872,4010
RGI60-13.04873,3908
RGI60-13.04886,4273
RGI60-13.04890,4228
RGI60-13.04892,4090
RGI60-13.04893,4108
RGI60-13.04913,4352.309628
RGI60-13.04919,4389
RGI60-13.04920,4067
RGI60-13.04924,4054
RGI60-13.04926,4031
RGI60-13.04930,4033
RGI60-13.04931,4152
RGI60-13.04933,4027
RGI60-13.04934,3831
RGI60-13.04937,3804
RGI60-13.04943,4659
RGI60-13.04946,4470
RGI60-13.04952,4670
RGI60-13.04956,5177
RGI60-13.04957,4947
RGI60-13.04960,6283
RGI60-13.04975,4863
RGI60-13.04985,NaN
RGI60-13.05000,3733
RGI60-13.05009,3830
RGI60-13.05012,4885
RGI60-13.05013,4567
RGI60-13.05015,3831
RGI60-13.05038,4230
RGI60-13.05053,6011
RGI60-13.05054,6051
RGI60-13.05060,6078
RGI60-13.05081,6084
RGI60-13.05104,6271
RGI60-13.05111,6225
RGI60-13.05112,6119
RGI60-13.05117,6217
RGI60-13.05145,5988
RGI60-13.05159,6343.269607
RGI60-13.05161,6257.015551
RGI60-13.05185,3903.755844
RGI60-13.05197,4032.752814
RGI60-13.05200,3695
RGI60-13.05204,3798
